no;kecamatan;longtitude;latitude;alamat;gambar
1;Bogor Barat;106.755.440;-6.569.792;Jl. Bubulak Cifor, Sindang Barang, Bogor Barat, RT.03/RW.08, Bubulak, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16115;
2;Bogor Utara;106.816.470;-6.571.426;Jl. Achmad Adnawijaya, RT.02/RW.04, Kp. Parung Jambu, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16152;
3;Bogor Utara;106.850.094;-6.468.826;Jl. Al-Baliyah Blok Flamboyan No.57, RT.5/RW.9, Pabuaran, Cibinong, Bogor, Jawa Barat 16916;
4;Bogor Utara;106.817.625;-6.574.376;Jl. Achmad Adnawijaya Blok Masjid No.28A, RT.03/RW.1, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16152;
5;Bogor Utara;106.808.812;-6.581.104;Jl. Bangbarung Raya No. 11 Rt. 001 Rw 007, Bantar Jati, Bogor Utara, RT.01/RW.11, Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16153;
6;Bogor Utara;106.812.149;-6.581.224;Jl. Achmad Sobana No.44, RT.03/RW.10, Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16152;
7;Bogor Barat;106.763.580;-6.564.426;Jl. Brigjen Saptadji Hadiprawira No.25, RT.01/RW.01, Semplak, Kec. Bogor Barat, Kota Bogor, Jawa Barat 16114;
8;Bogor Barat;106.755.440;-6.569.792;Jl. Bubulak Cifor, Sindang Barang, Bogor Barat, RT.03/RW.08, Bubulak, Kec. Bogor Barat, Kota Bogor, Jawa Barat 16115;
9;Tanah Sareal;106.786.212;-6.569.926;Jl. Perikanan Darat, RT.4/RW.16, Kedung Waringin, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164;
10;Bogor Barat;106.765.947;-6.553.172;Jl. Desa Curug No.26, RT.04/RW.06, Curug, Kec. Bogor Barat, Kota Bogor, Jawa Barat 16113;
11;Bogor Barat;106.731.564;-6.562.135;Jl. Babakan Raya No.63 Rt.02/01, Babakan, Kec. Dramaga, Bogor, Jawa Barat 16680;
12;Bogor Barat;106.744.716;-6.572.663;Jalan Raya Dramaga KM.07, Margajaya, Bogor Barat, RT.01/RW.03, Margajaya, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16116;
13;Bogor Barat;106.739.585;-6.570.850;Jl. H. Abbas No.35, RT.03/RW.06, Dramaga, Kec. Dramaga, Bogor, Jawa Barat 16116;
14;Bogor Barat;106.732.808;-6.563.010;Jl. Raya Dramaga No.29, RT.03/RW.02, Margajaya, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16116;
15;Bogor Timur;106.816.707;-6.616.242;Jl. Durian Raya, RT.07/RW.05, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143;
16;Bogor Timur;106.824.274;-6.616.265;Jl. Taman padjajaranBlok b No.1, RT.02/RW.12, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16144;
17;Bogor Utara;106.839.219;-6.514.280;Jl. Kp. Nangewer No.9, Nanggewer Mekar, Cibinong, Bogor, Jawa Barat 16912;
18;Tanah Sareal;106.801.061;-6.566.638;Jl. Kb. Pedes No.63 Rt.02/04, RT.01/RW.04, Kb. Pedes, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162;
19;Bogor Selatan;106.812.276;-6.620.812;Jl. Lawang Gintung No.87, RT.06/RW.05, Lawanggintung, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16133;
20;Bogor Utara;106.818.539;-6.601.500;Jl. Kol. Ahmad Syam, RT.04/RW.06, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16143;
21;Bogor Barat;106.740.824;-6.573.087;Jl. Pemuda Rt. 003 Rw. 005, Marga Jaya, Bogor Barat, Mekarsari, Cileungsi, Bogor, West Java 16820;
22;Bogor Utara;106.822.257;-6.567.013;Jl. Pangeran Sogiri No.257, RT.05/RW.03, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154;
23;Bogor Timur;106.832.336;-6.620.545;Jl. Mutiara Bogor Raya, RT.04/RW.15, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16144;
24;Bogor Timur;106.813.908;-6.600.465;Jl. Padi No.1, RT.02/RW.09, Baranangsiang, Bogor, Jawa Barat 16143;
25;Bogor Selatan;106.799.072;-6.610.321;Jl. Pahlawan No.84, RT.01/RW.06, Bondongan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16132;
26;Bogor Selatan;106.801.890;-6.612.013;Jl. Pahlawan No.97a, RT.01/RW.07, Bondongan, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16132;
